Location 1	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Chicago, Illinois 60653
(41.81843090300049, -87.61270948899966)	
Chicago, Illinois 60653
(41.81843090300049, -87.61270948899966)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
Los Angeles, California 90008
(34.01097307500049, -118.34158773699971)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Houston, Texas 77095
(29.90484294200047, -95.65342893699966)	
New York City, New York 10039
(40.82528430600047, -73.93804734999964)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Dallas, Texas 75081
(32.95081345800048, -96.71124659599968)	
Dallas, Texas 75081
(32.95081345800048, -96.71124659599968)	
Dallas, Texas 75220
(32.86643345100049, -96.86723663899966)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10045
(40.70815164700048, -74.00869713899965)	
Dallas, Texas 75220
(32.86643345100049, -96.86723663899966)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
Los Angeles, California 90045
(33.961622502000466, -118.39344972199967)	
Seattle, Washington 98115
(47.684896564000496, -122.30131725399968)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Atlanta, Georgia 30305
(33.83615177900049, -84.38187636999965)	
New York City, New York 10112
(40.758471156000496, -73.97904682099966)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Los Angeles, California 90058
(34.00173124800045, -118.22098776399969)	
Charlotte, North Carolina 28206
(35.252701782000486, -80.82276939499968)	
Los Angeles, California 90008
(34.01097307500049, -118.34158773699971)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10011
(40.74050021400046, -73.99851679099964)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
Los Angeles, California 90041
(34.13539230800046, -118.20685780599968)	
New York City, New York 10004
(40.70496241400048, -74.01291613899963)	
Atlanta, Georgia 30318
(33.79050315100045, -84.44103796499968)	
Boston, Massachusetts 2118
(42.340113988000496, -71.07395876399966)	
Atlanta, Georgia 30305
(33.83615177900049, -84.38187636999965)	
Atlanta, Georgia 30305
(33.83615177900049, -84.38187636999965)	
Miami, Florida 33181
(25.897031594000453, -80.15793575799967)	
Boston, Massachusetts 2129
(42.377911191000464, -71.06252705399964)	
Boston, Massachusetts 2129
(42.377911191000464, -71.06252705399964)	
Philadelphia, Pennsylvania 19112
(39.89148179400047, -75.17378863899967)	
San Diego, California 92024
(33.05290370700044, -117.27300749899968)	
San Francisco, California 94122
(37.760560746000465, -122.48127869099972)	
San Francisco, California 94122
(37.760560746000465, -122.48127869099972)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
Washington, District of Columbia 20012
(38.976740821000476, -77.02647725899965)	
Washington, District of Columbia 20012
(38.976740821000476, -77.02647725899965)	
Washington, District of Columbia 20012
(38.976740821000476, -77.02647725899965)	
Chicago, Illinois 60699
(41.87878303000048, -87.67082828199966)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
Los Angeles, California 90068
(34.115261897000494, -118.33142911399972)	
Los Angeles, California 90068
(34.115261897000494, -118.33142911399972)	
Dallas, Texas 75203
(32.74681110500046, -96.80835746999969)	
Miami, Florida 33132
(25.782840504000433, -80.18960650299965)	
Los Angeles, California 90041
(34.13539230800046, -118.20685780599968)	
Charlotte, North Carolina 28206
(35.252701782000486, -80.82276939499968)	
New York City, New York 10045
(40.70815164700048, -74.00869713899965)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
Chicago, Illinois 60601
(41.88582193800045, -87.62477991399965)	
Miami, Florida 33916
(26.635261064000474, -81.84365885099965)	
Miami, Florida 33916
(26.635261064000474, -81.84365885099965)	
Miami, Florida 33916
(26.635261064000474, -81.84365885099965)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
Miami, Florida 33180
(25.96064247500044, -80.13938692899967)	
Detroit, Michigan 48138
(42.1334438020005, -83.15500758199966)	
Detroit, Michigan 48138
(42.1334438020005, -83.15500758199966)	
Charlotte, North Carolina 28204
(35.213701012000456, -80.82669727899963)	
Charlotte, North Carolina 28204
(35.213701012000456, -80.82669727899963)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Atlanta, Georgia 30305
(33.83615177900049, -84.38187636999965)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90004
(34.075722347000465, -118.30302581299969)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
Los Angeles, California 90004
(34.075722347000465, -118.30302581299969)	
Chicago, Illinois 60610
(41.90544398300045, -87.63214904399968)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
New York City, New York 10115
(40.8111934530005, -73.96393923799963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Los Angeles, California 90061
(33.923030163000476, -118.27378827099972)	
Los Angeles, California 90061
(33.923030163000476, -118.27378827099972)	
Los Angeles, California 90061
(33.923030163000476, -118.27378827099972)	
Los Angeles, California 90008
(34.01097307500049, -118.34158773699971)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Philadelphia, Pennsylvania 19120
(40.03455413500046, -75.12164857299967)	
New York City, New York 10177
(40.76770429300046, -73.97058709599963)	
Charlotte, North Carolina 28206
(35.252701782000486, -80.82276939499968)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
San Francisco, California 94122
(37.760560746000465, -122.48127869099972)	
Seattle, Washington 98103
(47.671496567000474, -122.34359850199968)	
Washington, District of Columbia 20012
(38.976740821000476, -77.02647725899965)	
Washington, District of Columbia 20012
(38.976740821000476, -77.02647725899965)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
New York City, New York 10045
(40.70815164700048, -74.00869713899965)	
Los Angeles, California 90008
(34.01097307500049, -118.34158773699971)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
San Diego, California 92024
(33.05290370700044, -117.27300749899968)	
San Diego, California 92024
(33.05290370700044, -117.27300749899968)	
San Diego, California 92024
(33.05290370700044, -117.27300749899968)	
Seattle, Washington 98105
(47.66286738600047, -122.30409805799968)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90041
(34.13539230800046, -118.20685780599968)	
Los Angeles, California 90041
(34.13539230800046, -118.20685780599968)	
Washington, District of Columbia 20006
(38.90127242000045, -77.04115903299964)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
New York City, New York 10039
(40.82528430600047, -73.93804734999964)	
New York City, New York 10039
(40.82528430600047, -73.93804734999964)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
New York City, New York 10012
(40.72569243400045, -73.99866886599966)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Chicago, Illinois 60603
(41.88079042200047, -87.62899891499967)	
Houston, Texas 77095
(29.90484294200047, -95.65342893699966)	
Boston, Massachusetts 2118
(42.340113988000496, -71.07395876399966)	
Boston, Massachusetts 2118
(42.340113988000496, -71.07395876399966)	
Boston, Massachusetts 2113
(42.36509342400046, -71.05512751099963)	
Charlotte, North Carolina 28206
(35.252701782000486, -80.82276939499968)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
New York City, New York 10154
(40.75802362000047, -73.97315933899966)	
Miami, Florida 33916
(26.635261064000474, -81.84365885099965)	
New York City, New York 10013
(40.7197006720005, -74.00302690699965)	
Washington, District of Columbia 20024
(38.87867404700046, -77.01747875299964)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
Los Angeles, California 90032
(34.08143168500044, -118.17679905799969)	
New York City, New York 10024
(40.78587076100047, -73.97494948099967)	
Charlotte, North Carolina 28204
(35.213701012000456, -80.82669727899963)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Houston, Texas 77041
(29.85919431500048, -95.58141916199969)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Seattle, Washington 98119
(47.63587621100049, -122.36535828999968)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
Washington, District of Columbia 20016
(38.93880023300045, -77.08504793299966)	
New York City, New York 10165
(40.76770429300046, -73.97058709599963)	
New York City, New York 10165
(40.76770429300046, -73.97058709599963)	
Dallas, Texas 75081
(32.95081345800048, -96.71124659599968)	
Miami, Florida 33132
(25.782840504000433, -80.18960650299965)	
Philadelphia, Pennsylvania 19140
(40.011012895000476, -75.14720589499967)	
Philadelphia, Pennsylvania 19134
(39.99190356100047, -75.11122924999967)	
Los Angeles, California 90045
(33.961622502000466, -118.39344972199967)	
Boston, Massachusetts 2129
(42.377911191000464, -71.06252705399964)	
Boston, Massachusetts 2129
(42.377911191000464, -71.06252705399964)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90049
(34.061731429000474, -118.4722594319997)	
Los Angeles, California 90049
